iter	Passed	Remaining
0	0	26
1	0	30
2	0	28
3	1	26
4	1	26
5	1	25
6	1	24
7	2	24
8	2	23
9	2	23
10	2	22
11	3	23
12	3	22
13	3	23
14	4	23
15	4	22
16	4	22
17	4	21
18	4	21
19	5	20
20	5	20
21	5	19
22	5	19
23	6	19
24	6	18
25	6	18
26	6	18
27	6	17
28	7	17
29	7	17
30	7	17
31	7	16
32	8	16
33	8	16
34	8	15
35	8	15
36	8	15
37	9	15
38	9	14
39	9	14
40	9	14
41	10	13
42	10	13
43	10	13
44	10	13
45	10	12
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	12	10
54	12	10
55	13	10
56	13	10
57	13	9
58	13	9
59	13	9
60	14	9
61	14	8
62	14	8
63	14	8
64	15	8
65	15	7
66	15	7
67	15	7
68	16	7
69	16	6
70	16	6
71	16	6
72	16	6
73	17	6
74	17	5
75	17	5
76	17	5
77	18	5
78	18	4
79	18	4
80	18	4
81	19	4
82	19	3
83	19	3
84	19	3
85	20	3
86	20	3
87	20	2
88	20	2
89	21	2
90	21	2
91	21	1
92	21	1
93	22	1
94	22	1
95	22	0
96	22	0
97	22	0
98	23	0
99	23	0
