iter	Passed	Remaining
0	0	22
1	0	23
2	0	22
3	0	22
4	1	21
5	1	21
6	1	21
7	1	21
8	2	21
9	2	21
10	2	22
11	3	23
12	3	22
13	3	22
14	3	22
15	4	22
16	4	21
17	4	21
18	4	21
19	5	20
20	5	20
21	5	20
22	5	20
23	6	19
24	6	19
25	6	19
26	6	18
27	7	18
28	7	18
29	7	17
30	7	17
31	8	17
32	8	16
33	8	16
34	8	16
35	8	15
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	11	13
46	11	12
47	11	12
48	11	12
49	12	12
50	12	11
51	12	11
52	12	11
53	12	10
54	13	10
55	13	10
56	13	10
57	13	9
58	13	9
59	14	9
60	14	9
61	14	8
62	14	8
63	15	8
64	15	8
65	15	8
66	15	7
67	16	7
68	16	7
69	16	7
70	16	6
71	17	6
72	17	6
73	17	6
74	17	5
75	17	5
76	18	5
77	18	5
78	18	4
79	18	4
80	19	4
81	19	4
82	19	4
83	19	3
84	20	3
85	20	3
86	20	3
87	20	2
88	21	2
89	21	2
90	21	2
91	21	1
92	22	1
93	22	1
94	22	1
95	22	0
96	22	0
97	23	0
98	23	0
99	23	0
